subject,day,time_slot,difficulty,past_attendance,attendance_percentage,high_attendance
Physics,Monday,3-4,5,60,40,0
Chemistry,Friday,3-4,4,79,71,0
Physics,Wednesday,10-11,1,58,55,0
Chemistry,Wednesday,9-10,4,71,52,0
Maths,Wednesday,11-12,3,61,51,0
CS,Tuesday,9-10,2,65,62,0
CS,Monday,3-4,3,81,61,0
Chemistry,Wednesday,11-12,2,91,86,1
Chemistry,Wednesday,3-4,4,60,53,0
Physics,Friday,10-11,3,59,48,0
Physics,Monday,9-10,4,67,60,0
Physics,Tuesday,2-3,3,93,88,1
English,Tuesday,9-10,4,53,44,0
English,Tuesday,2-3,4,92,74,0
English,Tuesday,2-3,1,71,63,0
Chemistry,Monday,9-10,3,86,82,1
Physics,Tuesday,2-3,3,70,63,0
Chemistry,Monday,11-12,2,67,65,0
CS,Friday,10-11,4,71,49,0
CS,Friday,10-11,2,80,68,0
Maths,Friday,9-10,5,70,50,0
Chemistry,Friday,2-3,4,92,79,1
English,Friday,11-12,5,77,72,0
Maths,Tuesday,9-10,3,68,54,0
Maths,Friday,9-10,2,83,74,0
English,Thursday,11-12,2,77,65,0
CS,Wednesday,9-10,3,76,56,0
Chemistry,Friday,3-4,1,72,66,0
Chemistry,Thursday,2-3,1,69,64,0
English,Wednesday,11-12,2,62,59,0
Maths,Monday,11-12,4,92,77,1
CS,Tuesday,10-11,4,68,49,0
Maths,Wednesday,11-12,2,74,64,0
Physics,Thursday,10-11,1,57,59,0
CS,Tuesday,3-4,4,69,63,0
Physics,Wednesday,10-11,3,75,63,0
Maths,Friday,10-11,1,68,65,0
Maths,Monday,11-12,5,74,58,0
CS,Thursday,11-12,4,94,70,0
Chemistry,Friday,11-12,4,59,46,0
Maths,Wednesday,10-11,2,75,69,0
Chemistry,Thursday,9-10,5,57,40,0
CS,Tuesday,11-12,4,75,69,0
Chemistry,Friday,3-4,5,53,40,0
Maths,Monday,2-3,1,90,84,1
Maths,Tuesday,3-4,1,63,66,0
Chemistry,Wednesday,10-11,5,88,58,0
Maths,Thursday,11-12,5,54,42,0
English,Tuesday,2-3,1,52,52,0
Maths,Thursday,11-12,1,59,55,0
Chemistry,Tuesday,11-12,4,51,41,0
Chemistry,Tuesday,11-12,3,63,45,0
CS,Friday,3-4,4,79,67,0
Maths,Wednesday,9-10,4,94,76,1
CS,Wednesday,3-4,1,60,61,0
Physics,Thursday,9-10,1,95,88,1
English,Wednesday,11-12,2,90,82,1
Physics,Wednesday,3-4,4,67,62,0
Chemistry,Friday,10-11,4,59,50,0
English,Friday,11-12,3,79,69,0
Chemistry,Thursday,10-11,3,82,73,0
Maths,Wednesday,9-10,2,66,58,0
Maths,Monday,3-4,2,54,51,0
Physics,Monday,10-11,2,58,46,0
English,Monday,3-4,2,80,72,0
Maths,Thursday,9-10,3,88,82,1
CS,Friday,10-11,5,83,58,0
Physics,Monday,10-11,2,86,83,1
English,Tuesday,2-3,1,72,70,0
English,Wednesday,3-4,5,56,41,0
English,Wednesday,3-4,1,74,67,0
Physics,Thursday,3-4,5,66,49,0
English,Wednesday,3-4,4,95,82,1
Chemistry,Thursday,11-12,3,84,65,0
Physics,Monday,3-4,3,90,86,1
CS,Thursday,9-10,1,73,69,0
Maths,Thursday,3-4,4,74,63,0
English,Tuesday,10-11,2,73,58,0
Maths,Tuesday,2-3,4,61,50,0
Chemistry,Tuesday,10-11,1,83,84,1
CS,Thursday,9-10,4,76,69,0
Chemistry,Monday,11-12,5,54,40,0
CS,Thursday,9-10,2,83,72,0
Chemistry,Wednesday,11-12,1,68,65,0
English,Wednesday,2-3,3,62,53,0
CS,Wednesday,11-12,4,71,50,0
Chemistry,Thursday,11-12,1,87,89,1
Chemistry,Thursday,11-12,5,93,73,0
CS,Tuesday,10-11,4,68,50,0
Physics,Wednesday,10-11,5,55,40,0
CS,Friday,10-11,2,75,67,0
Physics,Friday,10-11,3,50,48,0
Chemistry,Tuesday,10-11,4,69,55,0
Maths,Thursday,2-3,1,88,82,1
CS,Thursday,2-3,1,78,73,0
CS,Wednesday,2-3,3,78,67,0
CS,Monday,9-10,4,54,42,0
CS,Friday,11-12,2,92,79,1
CS,Wednesday,11-12,4,73,66,0
Physics,Wednesday,2-3,1,75,68,0
Maths,Wednesday,11-12,1,72,66,0
Chemistry,Friday,2-3,1,53,44,0
Maths,Wednesday,3-4,3,91,79,1
Maths,Friday,11-12,4,93,82,1
Physics,Thursday,2-3,5,56,40,0
Maths,Thursday,2-3,1,57,53,0
English,Wednesday,11-12,2,52,50,0
CS,Thursday,3-4,5,87,74,0
Physics,Monday,11-12,3,89,84,1
Maths,Monday,9-10,4,54,47,0
CS,Monday,3-4,2,93,84,1
CS,Tuesday,9-10,1,64,58,0
Maths,Tuesday,9-10,3,68,55,0
English,Monday,10-11,3,76,62,0
English,Wednesday,2-3,4,94,76,1
English,Tuesday,2-3,4,80,57,0
Maths,Thursday,10-11,4,55,45,0
Maths,Tuesday,10-11,2,83,73,0
English,Thursday,3-4,2,78,72,0
Chemistry,Wednesday,2-3,3,56,48,0
English,Wednesday,3-4,4,76,64,0
Physics,Thursday,11-12,3,61,48,0
English,Monday,10-11,1,88,80,1
CS,Wednesday,2-3,4,70,64,0
Maths,Monday,9-10,3,68,56,0
English,Wednesday,3-4,3,71,57,0
Maths,Monday,10-11,5,75,67,0
Chemistry,Friday,9-10,4,70,59,0
English,Thursday,11-12,4,71,46,0
Physics,Friday,10-11,5,70,51,0
Chemistry,Friday,10-11,3,65,57,0
Physics,Friday,2-3,5,64,45,0
Maths,Wednesday,2-3,1,68,62,0
Maths,Thursday,11-12,4,68,47,0
Physics,Tuesday,9-10,2,60,53,0
Chemistry,Thursday,11-12,2,54,41,0
Physics,Thursday,9-10,2,63,58,0
Maths,Wednesday,3-4,4,53,40,0
Chemistry,Thursday,9-10,5,94,84,1
Chemistry,Tuesday,3-4,5,85,57,0
English,Wednesday,10-11,1,67,63,0
Physics,Friday,9-10,1,61,54,0
Chemistry,Friday,2-3,3,86,81,1
Chemistry,Monday,9-10,5,61,40,0
Maths,Friday,10-11,1,71,63,0
English,Wednesday,11-12,2,55,44,0
English,Thursday,9-10,4,61,54,0
Maths,Wednesday,11-12,3,55,48,0
CS,Monday,10-11,2,75,68,0
Maths,Wednesday,10-11,2,91,90,1
Physics,Friday,3-4,2,92,91,1
Chemistry,Tuesday,3-4,1,54,49,0
CS,Wednesday,10-11,5,90,62,0
English,Monday,11-12,2,60,47,0
Physics,Friday,9-10,5,62,49,0
CS,Monday,2-3,1,58,54,0
CS,Thursday,10-11,1,64,59,0
CS,Monday,3-4,3,51,40,0
English,Thursday,10-11,5,93,82,1
Physics,Tuesday,2-3,1,54,55,0
Chemistry,Tuesday,10-11,3,58,44,0
Chemistry,Friday,9-10,4,74,67,0
Physics,Wednesday,2-3,2,79,76,1
Physics,Wednesday,10-11,2,76,77,1
Physics,Tuesday,3-4,5,58,48,0
Physics,Monday,9-10,1,50,43,0
CS,Thursday,9-10,5,71,66,0
Maths,Wednesday,9-10,4,71,50,0
CS,Tuesday,3-4,3,68,55,0
Chemistry,Tuesday,10-11,3,50,40,0
Physics,Monday,2-3,5,60,52,0
CS,Tuesday,3-4,5,87,75,1
English,Thursday,10-11,5,95,81,1
English,Friday,3-4,2,84,71,0
Maths,Thursday,2-3,5,69,59,0
English,Thursday,11-12,5,88,73,0
Chemistry,Friday,3-4,4,71,60,0
CS,Tuesday,9-10,5,85,77,1
English,Monday,2-3,1,54,54,0
Maths,Monday,9-10,1,65,60,0
English,Wednesday,10-11,2,62,51,0
CS,Monday,2-3,4,66,62,0
CS,Wednesday,11-12,5,91,68,0
Maths,Tuesday,3-4,2,77,71,0
Physics,Tuesday,11-12,4,75,55,0
English,Monday,2-3,5,57,40,0
Physics,Wednesday,11-12,4,72,56,0
CS,Monday,3-4,2,71,64,0
Physics,Tuesday,9-10,3,77,72,0
English,Thursday,9-10,1,59,56,0
CS,Monday,9-10,3,74,70,0
CS,Thursday,10-11,3,89,76,1
CS,Monday,10-11,3,81,72,0
CS,Friday,3-4,4,65,47,0
CS,Monday,3-4,3,93,75,1
CS,Friday,11-12,4,61,45,0
Physics,Thursday,2-3,1,78,70,0
English,Wednesday,9-10,1,54,45,0
Chemistry,Monday,9-10,2,50,48,0
Maths,Thursday,9-10,5,62,43,0
Chemistry,Friday,2-3,1,78,74,0
Chemistry,Tuesday,11-12,5,74,55,0
CS,Friday,10-11,1,71,64,0
Physics,Monday,9-10,5,50,40,0
English,Friday,2-3,2,70,55,0
Maths,Friday,10-11,5,82,58,0
English,Wednesday,9-10,5,87,61,0
English,Thursday,3-4,4,64,44,0
Maths,Wednesday,11-12,2,75,68,0
Maths,Thursday,11-12,2,69,63,0
Maths,Friday,9-10,3,51,48,0
CS,Tuesday,10-11,2,69,64,0
Maths,Tuesday,9-10,1,62,60,0
CS,Friday,3-4,3,78,64,0
Chemistry,Wednesday,2-3,4,83,69,0
CS,Wednesday,2-3,1,94,95,1
English,Friday,2-3,1,93,95,1
English,Friday,3-4,2,79,70,0
Maths,Thursday,2-3,4,83,73,0
English,Tuesday,9-10,3,79,68,0
CS,Monday,10-11,1,61,56,0
Maths,Thursday,11-12,3,63,52,0
Physics,Thursday,2-3,5,69,51,0
Chemistry,Thursday,3-4,5,60,48,0
Chemistry,Thursday,2-3,5,86,74,0
CS,Monday,2-3,3,67,53,0
English,Tuesday,2-3,5,54,41,0
Maths,Wednesday,3-4,5,77,60,0
Physics,Friday,11-12,3,55,46,0
Physics,Thursday,11-12,1,59,58,0
Chemistry,Wednesday,2-3,4,95,75,1
Maths,Thursday,10-11,2,65,55,0
English,Thursday,9-10,2,76,63,0
Chemistry,Thursday,10-11,4,60,53,0
English,Thursday,3-4,5,76,58,0
Maths,Tuesday,3-4,3,74,63,0
Chemistry,Wednesday,9-10,1,95,95,1
Chemistry,Thursday,9-10,1,84,85,1
Chemistry,Wednesday,11-12,1,93,89,1
CS,Monday,2-3,2,67,58,0
Maths,Friday,11-12,2,90,79,1
Chemistry,Thursday,2-3,5,59,40,0
Maths,Thursday,9-10,5,76,61,0
Physics,Tuesday,11-12,5,85,64,0
CS,Tuesday,9-10,2,58,50,0
Chemistry,Monday,3-4,1,63,54,0
Chemistry,Thursday,3-4,1,66,66,0
Physics,Tuesday,2-3,4,55,40,0
CS,Tuesday,2-3,4,94,81,1
Chemistry,Tuesday,9-10,2,69,64,0
Maths,Wednesday,11-12,4,76,62,0
Chemistry,Wednesday,3-4,1,95,91,1
Maths,Wednesday,9-10,3,59,46,0
CS,Monday,2-3,4,88,82,1
Physics,Tuesday,11-12,2,77,66,0
CS,Monday,9-10,2,60,57,0
Physics,Thursday,9-10,2,67,55,0
CS,Friday,11-12,2,60,55,0
CS,Monday,3-4,4,60,41,0
Physics,Friday,11-12,4,74,62,0
English,Friday,3-4,3,64,52,0
English,Friday,11-12,1,89,84,1
Chemistry,Tuesday,11-12,2,87,80,1
English,Friday,9-10,2,94,90,1
English,Friday,3-4,5,71,48,0
Physics,Wednesday,3-4,1,93,86,1
Chemistry,Wednesday,11-12,2,92,84,1
Chemistry,Monday,11-12,1,69,60,0
English,Thursday,3-4,2,81,74,0
Maths,Tuesday,10-11,5,75,64,0
Maths,Tuesday,9-10,4,64,48,0
Chemistry,Friday,9-10,5,50,40,0
English,Tuesday,9-10,1,70,64,0
English,Tuesday,11-12,1,55,55,0
English,Tuesday,9-10,5,85,70,0
Maths,Thursday,2-3,5,66,54,0
Maths,Monday,2-3,4,69,60,0
English,Tuesday,2-3,4,70,55,0
CS,Friday,10-11,3,73,63,0
CS,Tuesday,9-10,1,95,94,1
Physics,Tuesday,3-4,4,82,67,0
CS,Wednesday,10-11,2,55,49,0
Physics,Thursday,9-10,5,74,55,0
Chemistry,Tuesday,3-4,2,64,56,0
Physics,Wednesday,2-3,3,51,40,0
CS,Friday,10-11,4,54,40,0
Chemistry,Wednesday,10-11,3,53,41,0
Chemistry,Wednesday,11-12,2,87,78,1
CS,Friday,3-4,1,64,60,0
Physics,Thursday,11-12,1,55,46,0
English,Friday,3-4,1,65,62,0
English,Friday,10-11,1,56,50,0
CS,Friday,9-10,4,76,64,0
CS,Tuesday,9-10,2,75,65,0
Chemistry,Monday,3-4,4,54,44,0
Maths,Thursday,10-11,4,54,40,0
Physics,Wednesday,2-3,3,70,60,0
Maths,Friday,10-11,2,78,72,0
Maths,Friday,11-12,4,61,45,0
Maths,Tuesday,3-4,1,57,60,0
CS,Wednesday,9-10,1,86,80,1
Maths,Monday,3-4,4,75,58,0
Chemistry,Tuesday,11-12,2,83,73,0
English,Monday,10-11,5,51,40,0
Physics,Thursday,10-11,1,77,71,0
Chemistry,Friday,10-11,2,76,68,0
Chemistry,Wednesday,11-12,2,76,68,0
CS,Wednesday,11-12,2,53,47,0
Physics,Monday,3-4,5,89,60,0
Physics,Tuesday,11-12,3,70,51,0
English,Wednesday,11-12,3,59,42,0
CS,Friday,3-4,3,80,70,0
CS,Thursday,3-4,4,85,79,1
Chemistry,Wednesday,3-4,1,55,57,0
Chemistry,Monday,9-10,2,78,79,1
Physics,Wednesday,10-11,2,91,84,1
Chemistry,Wednesday,11-12,2,81,80,1
Maths,Thursday,2-3,3,78,66,0
English,Wednesday,10-11,4,81,70,0
Physics,Thursday,3-4,1,81,71,0
English,Thursday,10-11,4,67,55,0
CS,Tuesday,10-11,2,77,65,0
Physics,Tuesday,3-4,2,52,42,0
CS,Monday,11-12,5,55,40,0
CS,Thursday,10-11,5,68,60,0
Maths,Thursday,2-3,1,61,59,0
English,Friday,3-4,5,77,71,0
CS,Wednesday,2-3,3,73,64,0
English,Monday,9-10,5,76,61,0
CS,Tuesday,10-11,1,80,78,1
Maths,Thursday,2-3,3,75,64,0
Chemistry,Thursday,2-3,1,52,47,0
English,Wednesday,3-4,5,54,40,0
Chemistry,Tuesday,9-10,1,81,79,1
Chemistry,Monday,11-12,1,76,78,1
CS,Thursday,3-4,1,64,63,0
CS,Thursday,11-12,2,53,42,0
English,Tuesday,10-11,5,82,68,0
Physics,Tuesday,9-10,4,77,70,0
CS,Thursday,11-12,3,70,64,0
